trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Participant,BlockN,TrialType,ImageID,Scene,TrialStart,TrialEnd,TimeReacted,PressedKey,Answer,BreakTaken,ExpDur,Lab,Accuracy,Were the instructions you received before the experiment clear? How well do you think you understood the task in the experiment?,How confident were you about the responses you have given during the experiment?,participant,gender,age,date,psychopyVersion,frameRate,
0,0,0,0,,,,1,Intro,,,2.4238150119781494,6.451624870300293,,,,,,lab name/location,,,,0a40,Male,,2024-10-01_13h32.05.108,2023.2.2,59.215737764167905,
0,1,1,1,,,,1,TrialBreak,,,8.672135829925537,12.171921014785767,1.1666666666666667,k,kitchen,3.5,,lab name/location,0,,,0a40,Male,,2024-10-01_13h32.05.108,2023.2.2,59.215737764167905,
0,2,2,2,,,,1,TrialBreak,,,13.577443838119507,16.626426935195923,0.38333333333333336,l,living room,3.05,,lab name/location,0,,,0a40,Male,,2024-10-01_13h32.05.108,2023.2.2,59.215737764167905,
0,3,3,3,,,,2,BlockBreak,,,16.63855290412903,21.66312885284424,,,,5.016666666666667,,lab name/location,,,,0a40,Male,,2024-10-01_13h32.05.108,2023.2.2,59.215737764167905,
0,4,4,4,,,,2,TrialBreak,,,23.090046882629395,26.5681369304657,0.4,l,living room,3.4833333333333334,,lab name/location,0,,,0a40,Male,,2024-10-01_13h32.05.108,2023.2.2,59.215737764167905,
0,5,5,5,,,,2,TrialBreak,,,28.256775856018066,31.838685035705566,0.6666666666666666,l,living room,3.5833333333333335,,lab name/location,0,,,0a40,Male,,2024-10-01_13h32.05.108,2023.2.2,59.215737764167905,
0,6,6,6,,,,3,BlockBreak,,,31.846879959106445,37.27795481681824,,,,5.416666666666667,,lab name/location,,,,0a40,Male,,2024-10-01_13h32.05.108,2023.2.2,59.215737764167905,
0,7,7,7,,,,3,TrialBreak,,,38.91928291320801,42.447892904281616,0.6166666666666667,l,living room,3.533333333333333,,lab name/location,0,,,0a40,Male,,2024-10-01_13h32.05.108,2023.2.2,59.215737764167905,
0,8,8,8,,,,3,TrialBreak,,,44.18709993362427,47.76891493797302,0.7166666666666667,l,living room,3.5833333333333335,,lab name/location,0,,,0a40,Male,,2024-10-01_13h32.05.108,2023.2.2,59.215737764167905,
0,9,9,9,,,,3,RatingScreen,,,47.770630836486816,50.91172790527344,,,,,,lab name/location,,4,,0a40,Male,,2024-10-01_13h32.05.108,2023.2.2,59.215737764167905,
0,10,10,10,,,,3,RatingScreen,,,50.91313982009888,52.163151025772095,,,,,,lab name/location,,,4,0a40,Male,,2024-10-01_13h32.05.108,2023.2.2,59.215737764167905,
0,11,11,11,,,,3,Outro,,,52.164204835891724,53.57453894615173,,,,,52.164188861846924,lab name/location,,,,0a40,Male,,2024-10-01_13h32.05.108,2023.2.2,59.215737764167905,
